id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
WGWMG,Pensacola Taxi Company,4525 Mobile Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32506,30.4346411,-87.2789259,Florida,,,,,positivo,2024
5H8RX,Pensacola Taxi Company,4525 Mobile Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32506,30.4346411,-87.2789259,Florida,,,,,negativo,2024
DYS0C,Pensacola Taxi Company,4525 Mobile Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32506,30.4346411,-87.2789259,Florida,,,,,neutral,2024
WSS4S,Avis Car Rental,7171 N Davis Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.499113,-87.224846,Florida,,,,,positivo,2024
BN6EO,Avis Car Rental,7171 N Davis Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.499113,-87.224846,Florida,,,,,negativo,2024
UFYPQ,Avis Car Rental,7171 N Davis Hwy,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.499113,-87.224846,Florida,,,,,neutral,2024
KFNSP,Hertz,11035 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.1698692,-81.5423928,Florida,,,,,positivo,2024
KFNSP,Hertz,11035 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.1698692,-81.5423928,Florida,,,,,negativo,2024
KFNSP,Hertz,11035 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.1698692,-81.5423928,Florida,,,,,neutral,2024
ZH4PH,System Shuttle Miami,5001 NW 36th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33166,25.8081865,-80.2777631,Florida,,,,,positivo,2024
U0PJK,System Shuttle Miami,5001 NW 36th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33166,25.8081865,-80.2777631,Florida,,,,,neutral,2024
EW69F,Bike Masters,11606 N Kendall Dr,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33176,25.6859595,-80.3838944,Florida,,,,,positivo,2024
LNLON,Bike Masters,11606 N Kendall Dr,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33176,25.6859595,-80.3838944,Florida,,,,,negativo,2024
IDOEP,Bike Masters,11606 N Kendall Dr,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33176,25.6859595,-80.3838944,Florida,,,,,neutral,2024
KDKAC,Fox Firestone Bicycles,1609 Canal St,RRcu,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,KBUC,New Smyrna Beach,32168,29.0157852,-80.9404976,Florida,,,,,positivo,2024
G10ZM,Fox Firestone Bicycles,1609 Canal St,RRcu,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,KBUC,New Smyrna Beach,32168,29.0157852,-80.9404976,Florida,,,,,neutral,2024
SBR7G,Sea Tow Sarasota,8116 Cortez Rd W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34209,27.4623251,-82.6429862,Florida,,,,,positivo,2024
PGWIZ,Sea Tow Sarasota,8116 Cortez Rd W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34209,27.4623251,-82.6429862,Florida,,,,,negativo,2024
EQLZE,Sea Tow Sarasota,8116 Cortez Rd W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34209,27.4623251,-82.6429862,Florida,,,,,neutral,2024
IUV2C,Miami Bikes Electric Bicycle Shop,8965 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8574439,-80.1841391,Florida,,,,,positivo,2024
G167W,Miami Bikes Electric Bicycle Shop,8965 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8574439,-80.1841391,Florida,,,,,neutral,2024
M998M,Miami Bikes Electric Bicycle Shop,8965 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8574439,-80.1841391,Florida,,,,,negativo,2024
WB13L,Bike Shop Cycle Spectrum,1263 3rd St S,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32250,30.2765448,-81.3887045,Florida,,,,,negativo,2024
V1XHK,Bike Shop Cycle Spectrum,1263 3rd St S,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32250,30.2765448,-81.3887045,Florida,,,,,positivo,2024
OCQZR,Bike Shop Cycle Spectrum,1263 3rd St S,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32250,30.2765448,-81.3887045,Florida,,,,,neutral,2024
HJ4W1,Fun Center Fort Lauderdale sales location,1040 Bayview Dr,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33304,26.1386965,-80.1141561,Florida,,,,,positivo,2024
V1EEQ,Fun Center Fort Lauderdale sales location,1040 Bayview Dr,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33304,26.1386965,-80.1141561,Florida,,,,,neutral,2024
YAJ68,Magic Transport Inc,12300 NW 116th Ave,aOJ1,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,XpFb,Medley,33178,25.8857016,-80.3874701,Florida,,,,,positivo,2024
CQI32,Magic Transport Inc,12300 NW 116th Ave,aOJ1,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,XpFb,Medley,33178,25.8857016,-80.3874701,Florida,,,,,negativo,2024
42NF5,Magic Transport Inc,12300 NW 116th Ave,aOJ1,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,XpFb,Medley,33178,25.8857016,-80.3874701,Florida,,,,,neutral,2024
51HS4,Enterprise Rent-A-Car,8462 SW 8th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33144,25.7610614,-80.3331095,Florida,,,,,negativo,2024
51HS4,Enterprise Rent-A-Car,8462 SW 8th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33144,25.7610614,-80.3331095,Florida,,,,,positivo,2024
51HS4,Enterprise Rent-A-Car,8462 SW 8th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33144,25.7610614,-80.3331095,Florida,,,,,neutral,2024
