id_nombre,nombre,nombre_normalizado
WDYP,Dermatology center of florida,
MOMK,Plantation palms dental,
V3U2,Timberlane animal hospital,
SK0I,Gateway dental of coral way,
27D7,"All florida family & sports medicine, pa",
VKUQ,Cora physical therapy north lauderdale,
0EYR,"River oak dental: liliana marshall, dmd",
DMIF,Sage dental of palm beach gardens,
B0HH,Central florida health care - lake wales,
PGMS,East lake acupuncture,
GVYG,Sage dental of royal palm beach,
HCYW,Florida medical clinic - multi specialty campus,
MZRS,"Ob & gyn specialists in sandlake, orlando",
6J4H,Caloosa pharmacy & compounding center,
XUD6,Allenby cosmetic dermatology,
M63S,Colonic center miami,
6TT0,Docmj,
CLFQ,Jr dental care - general - specialty - dental lab,
GWSE,Miami implant & family dentists,
OGSM,Healthy smile dental care- dr. judex ramirez,
VNA4,Publix pharmacy at miami lakes,
COI9,Planned parenthood - st. petersburg health center,
3W7D,Kilman dental,
2P3H,Fier eye care & surgery center,
C0S0,Heart of florida health center central,
KQLW,Rebound rehabilitation - arlington,
LJVV,Cora physical therapy largo,
ZL6E,"Tru-valu drugs, inc.",
5Q67,Correctvision - hollywood,
79QT,Orlando foot & ankle clinic,
5O3Q,Ur-smile dental,
K70Z,"Dr. emanuel kontos, dmd",
2EV8,Publix pharmacy at riverbridge centre,
Y3SK,Relax and smile dental care,
WX6Y,Generic pharmacy inc,
BV0Y,Pereira jacqueline dvm,
VQNI,Lakeside family dentistry,
ZIO2,Lifestance health,
O943,Encompass health rehabilitation hospital of largo,
HSV0,Body details,
UO6Q,"Santa cruz animal clinic: stanton, catherine dvm",
NOK7,Emerald coast dentistry,
YZAI,A woman's center of hollywood,
PJBC,Seasons womens care,
TIEP,1st step behavioral health: drug rehab in pompano beach,
O2HX,Lozano dental care,
9KW6,Ivf florida reproductive associates - margate,
JN8X,Suncoast behavioral health,
PACL,Mystic oaks family & cosmetic dentistry,
YXIA,Rx express compounding pharmacy,
GTDQ,Medi-weightloss lutz,
KNEX,San marco dentistry,
VYT0,Ascension sacred heart medical park and walk-in clinic at destin,
0GMV,Oneco dental care,
9AMF,Rebound rehabilitation - st. augustine,
FSAY,"Dr. sergey korol, dmd",
EQDM,Foot & ankle associates of florida,
XFUB,Orlando women's center,
6H38,Vava clinic,
WL0W,South florida periodontics and dental implants,
IOPO,St francis vet mobil,
PC8B,Dr. michael e. tavernaris,
NU1X,Physician partners of america- merritt island outpatient surgery center,
FNWQ,Foreversmile dentistry,
87FD,Coastal spine and pain center,
74ZO,Whole family health center,
8HEH,Integrative physical medicine,
HA79,St. johns urgent family care,
UBHY,S.a.h dentistry,
X29H,Boca health & wellness center - ernest s caruso dcpa,
PHBX,New beginnings of tampa,
YMIT,Sunrise dental of orange park,
SMJ0,Newbeauty facial spa,
3G8D,Rite now dental - emergency dentist,
J35I,Baptist heart hospital,
AR41,Cordova dental center,
QUWB,Roberts' south bank pharmacy,
CD91,Cora physical therapy deerfield beach,
ZZPR,Victus dental- 9 mile,
GGMW,Dental care of viera east,
YQYO,Tampa therapy,
IDII,Watson family dentistry,
H0K4,Barwis performance center,
CG1Q,Beachway therapy center,
JTT4,Lake mary cosmetic and implant dentistry,
N6W5,Oana mierloi dds pa,
XJQI,"Dr. ernesto j. perez, dmd",
93W4,Orthodontic specialists of florida - spring hill,
J7XS,Your kid's urgent care - tampa,
7OI3,2 be healthy inc,
TOYP,"Athletix rehab and recovery, llc",
CJEG,Dermaclinic coral gables,
IQ8M,Pure skin dermatology & aesthetics,
9Q9A,Encompass health rehabilitation hospital of sunrise,
ULN6,Happy kids pediatric dentistry,
HW8N,Ruban dental,
T0C2,Cora physical therapy bloomingdale,
8W3N,Everything teeth miami,
KIH6,D'art dental,
WOTE,Children's orthopaedic and scoliosis surgery associates,
JH0F,Oklin dental,
275K,Perfect ten studio,
IST8,St petersburg endodontics,
DC9D,Colibri day spa & beauty shop,
CTGY,Mindful behavioral healthcare,
7G9H,Dnf esthetics,
5ORO,Publix pharmacy at lk nona nemours children's hospital,
Z3PK,All smiles tampa bay,
COOX,Riverview pharmacy / compounding,
8KBW,Deltona pharmacy,
Z9Y7,Operation par inc,
Y1QJ,Options for women pregnancy help clinic,
M4L2,Liz skincare,
2UMF,Genesis health institute,
BHJE,Listopad & finder dds,
J5CV,New radiance cosmetic centers palm beach,
F8XM,Water's edge dental,
ST4K,Complete care: integrative physical medicine of debary/orange city,
KRMU,Marietta dental group,
W33P,Suncoast skin solutions,
4VXV,Milestones children & family dentistry,
4BSI,Agerejuvenation - wesley chapel,
9M5I,The smile mission,
